a	not, without
aard	earth
ab	father
ab	indicates removal: off, away from
abl	to manage, to have skill
ac	point, needle, sharp
acanth	thorn
acar	an order of arachnids that includes ticks and mites
acerb	sharp, bitter
acet	vinegar
acr	sharp
acro	point, extremity, topmost, height
act	to do
actin	ray
acu	needle, sharp
ad	a group consisting of the number given
ad	indicates motion towards or position near: to, towards, at, near
add	to give more, to add
adel	noble
adelph	brother
aden	gland
adip	fat
Adon	lord
adulter	to pollute, to defile
aeol	the wind
aer	air
aft	behind
ag	to do, to drive
agap	love
agog	to lead
agon	contest, struggle
agor	assembly, place of assembly, to speak in assembly
agr	field
agra	seizure
agri	field, soil, land, property
agro	field
ailur	cat
al	noble
al	to nourish, to nurture, to grow
al	wing
alb	white
ald	power, to rule
aleator	game of dice, game of chance, chance, uncertainty
alex	to defend
alg	pain
alg	algae
ali	other
alim	to feed, to nurture
alkal	alkali
allanto	sausage, sausage-shaped
allax	to change, other
allel	of one another
alli	garlic
allo	other
alma	nurturing, cherishing, fostering
alopia	loss of vision, blindness
alp	the Alps
alpha	the Greek letter alpha: Î
alt	high
altr	other
alum	alum, aluminum
am	love, friendship
am	ammonia
am	both, around
ambi	both, around
ambl	to go around, to walk
ambly	dull
ambro	immortal
amid	ammonia compound
amin	ammonia
amnes	to forget
amnio	amnion: the membrane holding a fetus
amoeb	amoeba
ampel	vine
amph	both, around
ampl	large, big enough
amplex	to twine around, to wind around
amygdal	almond
amyl	starch
an	one
an	circle, ring
an	both, around
an	not, without
ana	up, upward, back, backward, again, throughout, according to
andr	man, male; and by extension: stamen, anther
anem	wind
ang	tightness, distress, pain
angel	messenger
angio	container, vessel
angl	the Angles, a Germanic people who came to England, hence: England
anim	breath, life, soul
anis	anise
aniso	unequal
ankyl	crooked, hence: a joint
ann	year
ante	before, preceding
anth	flower
anthrac	coal, burning coal, ulcer, carbuncle, pustule
anthrop	Man, human
anti	before, preceding
anti	opposition
api	bee
apo	off, off from, away, away from
aps	arch, to fasten
apt	to fit, to make fit
aqua	water
aquil	eagle
arachn	spider, arachnid
arbitr	judge, to use oneâs judgment, to decide
arbor	tree
arc	curve, bow
arc	enclosed, secret, hidden; a closed box, chest
arch	beginning, earliest
arch	to be first, hence: to rule; ruler, chief
arct	a bear, northern
ard	to burn
ard	[in Germanic names] hard, hardy, strong
are	open field
aren	sand, sandy place
argent	silver
argill	clay
ari	air
aristo	best
arithm	number
arium	a place for
arm	weapon
art	creative activity, art, skill, craft
arthr	joint
articl	joint
artio	even (number)
asco	bladder, bag
ase	suffix for types of enzymes
aspar	asparagus
asper	rough, to roughen
asthen	weakness
astr	star
ather	grain, grainy matter
athl	contest
atlas	Atlas
atm	air, vapor
atom	atom, extremely small, indivisible
audi	to hear
aug	to increase
august	majestic, awe-inspiring
aur	ear
aur	gold
auspic	a term used in augury: to see omens in birdsâ flight
austr	south
author	to originate
auto	within, self
aux	to assist, to add to
av	to desire
avi	bird, to fly
ax	pivot, hub, axis
axi	value, worth
axil	armpit
bac	rod, staff
bacc	berry
bactr	rod, staff
bail	porter, to carry, to keep in custody, to deliver
bald	bold, brave
ball	ball-shaped object
ball	to dance
balne	bath
band	band
bank	bench, table, moneylenderâs table
bar	rod, barrier
bar	pressure, weight, heavy
bar	son of [in names of Hebraic origin]
barb	beard
barbar	foreign
barbit	barbituric acid
bark	boat, ship
bary	heavy
bas	foot, basis, low, under
bas	low, mean
bas	to go
basid	basis
basil	king
bast	plant fiber, to sew with bast, to make, to construct
bat	to beat
bat	to walk, to go
bat	daughter of [in names of Hebraic origin]
bathy	deep
batrach	frog, toad
bear	to carry
beat	blessed
beau	beauty
bell	beautiful
bell	war
bell	bellows
ben	well
ben	son of [in names of Hebraic origin]
benefic	to do well
benth	depth of the sea
benz	benzene
bern	a bear
bert	bright
beth	house [in names of Hebraic origin]
bi	two
bib	to drink
bibl	book
bil	bile
bill	document
bin	two
bio	life
bis	twice, double
bitumin	bitumen
blanc	white
blast	germination, bud, sprout, embryo, growth
blem	to throw
bol	ball
bol	to throw
bon	good
borea	north
bos	ox, bull, cow
bosc	to feed
botan	a plant
botry	a bunch of grapes
brace	arm
brachi	arm
brachy	short
brady	slow, tardy
branchi	gills
brand	sword, flame, to burn, to brand, to mark
brass	arm
brat	meat
brav	brave, bold
break	to break
brev	short
brig	to fight
broc	spike, to have projecting points
brom	stench
bronch	bronchus
bront	thunder
brut	heavy, dull, stupid, unreasonable
bryo	moss, lichen
bryo	to swell, to grow
bu	ox, bull, cow
buff	to strike
buff	buffalo skin
buff	to blow, a gust
bull	ball, bubble, a round object
bull	to bubble up, to boil
buoy	to float
burg	fortified town, town
burs	sack, purse
bury	defended or fortified town
but	to drive, to thrust against
but	end, thick end
but	bottle, cask
butter	butter
butyr	butter
caco	bad
cad	to fall
cade	procession
cafe	coffee
cain	cocaine
cal	beautiful
cal	heat
cal	day of the month, month
calc	stone
calc	spur, heel, foot
calc	to press, to trample, to tread
calce	shoe
cald	hot
calv	the upper part of the skull, hence: bald
calyps	to cover
camar	chamber
cambi	to exchange
camer	chamber
camp	open field
can	reed, cane, tube, rod, measuring rod
